#day                      flux
 1.227353350412348e+03 1.007748062500000e+06 
 1.227360161955774e+03 1.007516500000000e+06 
 1.227366973299198e+03 1.007619562500000e+06 
 1.227373784742653e+03 1.008135187500000e+06 
 1.227380596186100e+03 1.007986312500000e+06 
 1.227387407729526e+03 1.008030500000000e+06 
 1.227394219173009e+03 1.007692750000000e+06 
 1.227401030516434e+03 1.007696625000000e+06 
 1.227407841959917e+03 1.008093000000000e+06 
 1.227414653403372e+03 1.007644375000000e+06 
 1.227421464946856e+03 1.007968687500000e+06 
 1.227428276290309e+03 1.007980125000000e+06 
 1.227435087733793e+03 1.007678937500000e+06 
 1.227441899177269e+03 1.007979062500000e+06 
 1.227448710720753e+03 1.007822687500000e+06 
 1.227455522164237e+03 1.007938562500000e+06 
 1.227462333507749e+03 1.007725500000000e+06 
 1.227469144951232e+03 1.008045875000000e+06 
 1.227475956494745e+03 1.007872562500000e+06 
 1.227482767938258e+03 1.007602625000000e+06 
 1.227489579381770e+03 1.008215937500000e+06 
 1.227496390725282e+03 1.007720625000000e+06 
 1.227503202168788e+03 1.008065625000000e+06 
 1.227510013712330e+03 1.007877125000000e+06 
 1.227516825155843e+03 1.008005375000000e+06 
 1.227523636599355e+03 1.007714500000000e+06 
 1.227530447942896e+03 1.007669437500000e+06 
 1.227537259486438e+03 1.007716000000000e+06 
 1.227544070929980e+03 1.007768125000000e+06 
 1.227550882373551e+03 1.007900187500000e+06 
 1.227557693717092e+03 1.007773437500000e+06 
 1.227564505260656e+03 1.007675062500000e+06 
 1.227571316704198e+03 1.007871625000000e+06 
 1.227578128147768e+03 1.007935625000000e+06 
 1.227584939591339e+03 1.007704562500000e+06 
 1.227591750934909e+03 1.007688375000000e+06 
 1.227598562478481e+03 1.007746000000000e+06 
 1.227605373922081e+03 1.007755500000000e+06 
 1.227612185365651e+03 1.008024437500000e+06 
 1.227618996909245e+03 1.007683312500000e+06 
 1.227625808252815e+03 1.008063937500000e+06 
 1.227632619696415e+03 1.007940875000000e+06 
 1.227639431140014e+03 1.007740125000000e+06 
 1.227646242583614e+03 1.007575125000000e+06 
 1.227653054127244e+03 1.007649437500000e+06 
 1.227659865470843e+03 1.007587062500000e+06 
 1.227666676914472e+03 1.008006562500000e+06 
 1.227673488358072e+03 1.007495000000000e+06 
 1.227680299901724e+03 1.007596250000000e+06 
 1.227687111245323e+03 1.007659687500000e+06 
 1.227693922688981e+03 1.007679062500000e+06 
 1.227700734132610e+03 1.007711937500000e+06 
 1.227707545576239e+03 1.007761250000000e+06 
 1.227714357119898e+03 1.007844812500000e+06 
 1.227721168463555e+03 1.007843875000000e+06 
 1.227727979907213e+03 1.007720062500000e+06 
 1.227734791350871e+03 1.007619625000000e+06 
 1.227741602894523e+03 1.007655000000000e+06 
 1.227748414338181e+03 1.007475687500000e+06 
 1.227755225681838e+03 1.007921500000000e+06 
 1.227762037125525e+03 1.007673687500000e+06 
 1.227768848669213e+03 1.008016312500000e+06 
 1.227775660112871e+03 1.007636750000000e+06 
 1.227782471556558e+03 1.007618500000000e+06 
 1.227789282900245e+03 1.008154625000000e+06 
 1.227796094343961e+03 1.007645000000000e+06 
 1.227802905887642e+03 1.007687750000000e+06 
 1.227809717331329e+03 1.007579562500000e+06 
 1.227816528675045e+03 1.007834125000000e+06 
 1.227823340118761e+03 1.007829500000000e+06 
 1.227830151662478e+03 1.007861875000000e+06 
 1.227836963106194e+03 1.008081312500000e+06 
 1.227843774549910e+03 1.007771500000000e+06 
 1.227850585893626e+03 1.007802500000000e+06 
 1.227857397437365e+03 1.007561312500000e+06 
 1.227864208881110e+03 1.007553937500000e+06 
 1.227871020324827e+03 1.007671812500000e+06 
 1.227877831768572e+03 1.007628062500000e+06 
 1.227884643112317e+03 1.007930312500000e+06 
 1.227891454656063e+03 1.007785250000000e+06 
 1.227898266099808e+03 1.008079937500000e+06 
 1.227905077543583e+03 1.007841250000000e+06 
 1.227911888987328e+03 1.007735687500000e+06 
 1.227919381555461e+03 1.007852500000000e+06 
 1.227926192999235e+03 1.007624062500000e+06 
 1.227933004443003e+03 1.007733500000000e+06 
 1.227939815986778e+03 1.007515312500000e+06 
 1.227946627330552e+03 1.007828875000000e+06 
 1.227953438774355e+03 1.007667812500000e+06 
 1.227960250218159e+03 1.007670375000000e+06 
 1.227967061761934e+03 1.007564875000000e+06 
 1.227973873205738e+03 1.007772187500000e+06 
 1.227980684549540e+03 1.007718312500000e+06 
 1.227987495993344e+03 1.007626062500000e+06 
 1.227994307437140e+03 1.007796875000000e+06 
 1.228001118980945e+03 1.007740187500000e+06 
 1.228007930424777e+03 1.007624187500000e+06 
 1.228014741768580e+03 1.007578625000000e+06 
 1.228021553212413e+03 1.007734750000000e+06 
 1.228028364756246e+03 1.007578875000000e+06 
 1.228035176200079e+03 1.008034500000000e+06 
 1.228041987543911e+03 1.007844125000000e+06 
 1.228048798987744e+03 1.007912375000000e+06 
 1.228055610531570e+03 1.007392500000000e+06 
 1.228062421975432e+03 1.004878812500000e+06 
 1.228069233419294e+03 1.002404687500000e+06 
 1.228076044763126e+03 1.002144375000000e+06 
 1.228082856206987e+03 1.001677875000000e+06 
 1.228089667750850e+03 1.001492312500000e+06 
 1.228096479194741e+03 1.001229437500000e+06 
 1.228103290638603e+03 1.001050625000000e+06 
 1.228110101982464e+03 1.001145562500000e+06 
 1.228116913526348e+03 1.001203375000000e+06 
 1.228123724870209e+03 1.001050500000000e+06 
 1.228130536414101e+03 1.000908250000000e+06 
 1.228137347857992e+03 1.000943125000000e+06 
 1.228144159201882e+03 1.000653875000000e+06 
 1.228150970645802e+03 1.000928437500000e+06 
 1.228157782189694e+03 1.001194062500000e+06 
 1.228164593633584e+03 1.001704437500000e+06 
 1.228171404977504e+03 1.001490312500000e+06 
 1.228178216421416e+03 1.001366000000000e+06 
 1.228185027865307e+03 1.001279875000000e+06 
 1.228191839409257e+03 1.001644562500000e+06 
 1.228198650853148e+03 1.002158000000000e+06 
 1.228205462197096e+03 1.003808500000000e+06 
 1.228212273641017e+03 1.006509500000000e+06 
 1.228219085184966e+03 1.007587875000000e+06 
 1.228225896628886e+03 1.007991437500000e+06 
 1.228232708072828e+03 1.007621937500000e+06 
 1.228239519416777e+03 1.007643000000000e+06 
 1.228246330960726e+03 1.007678125000000e+06 
 1.228253142404676e+03 1.007878312500000e+06 
 1.228259953848625e+03 1.007611187500000e+06 
 1.228266765292603e+03 1.007690000000000e+06 
 1.228273576636580e+03 1.007670937500000e+06 
 1.228280388180530e+03 1.007669437500000e+06 
 1.228287199624509e+03 1.007543562500000e+06 
 1.228294011068479e+03 1.007606437500000e+06 
 1.228300822412457e+03 1.007728250000000e+06 
 1.228307633956436e+03 1.007877875000000e+06 
 1.228314445400443e+03 1.007702375000000e+06 
 1.228321256844421e+03 1.007736625000000e+06 
 1.228328068288429e+03 1.007926375000000e+06 
 1.228334879732407e+03 1.007830875000000e+06 
 1.228341691176414e+03 1.007958750000000e+06 
 1.228348502620422e+03 1.007874250000000e+06 
 1.228355314064422e+03 1.008072750000000e+06 
 1.228362125608459e+03 1.007845562500000e+06 
 1.228368936952465e+03 1.008159062500000e+06 
 1.228375748396502e+03 1.007489562500000e+06 
 1.228382559840509e+03 1.007967375000000e+06 
 1.228389371384546e+03 1.007948625000000e+06 
